,Outcome,HomeTeam,AwayTeam,HomeScores,AwayScores,Date,Month,Year,HomeHalfScores,HomeScrums,HomePenalties,AwayHalfScores,AwayScrums,AwayPenalties
194,loose,Sydney,Melbourne,18,22,19/03/2015,3,2006,0,6,6,16,8,5
195,win,Newcastle,Bulldogs,46,22,24/03/2015,3,2006,34,8,11,6,6,8
196,win,Manly Warringah,Cronulla,20,18,25/03/2015,3,2006,6,6,7,10,5,3
197,win,North Queensland,Melbourne,40,8,25/03/2015,3,2006,22,14,12,4,8,7
198,loose,Wests Tigers,Warriors,10,26,25/03/2015,3,2006,0,7,6,14,8,7
199,win,Brisbane,Parramatta,30,10,26/03/2015,3,2006,8,4,3,6,7,7
200,loose,South Sydney,St George Illawarra,14,44,26/03/2015,3,2006,8,8,12,26,9,7
201,win,Sydney,Canberra,56,20,26/03/2015,3,2006,10,4,8,14,3,9
202,loose,Parramatta,North Queensland,18,26,31/03/2015,3,2006,14,9,8,6,7,9
203,win,Canberra,Penrith,21,20,1/04/2015,4,2006,10,5,7,8,5,8
204,win,Cronulla,South Sydney,24,22,1/04/2015,4,2006,20,5,7,6,10,5
205,win,Manly Warringah,Sydney,30,22,1/04/2015,4,2006,12,4,8,20,6,8
206,loose,Newcastle,Warriors,22,26,2/04/2015,4,2006,10,2,8,14,9,3
207,win,St George Illawarra,Brisbane,26,12,2/04/2015,4,2006,14,10,7,6,7,3
208,win,Wests Tigers,Melbourne,30,28,2/04/2015,4,2006,18,10,9,4,6,6
209,win,North Queensland,Wests Tigers,32,12,7/04/2015,4,2006,22,7,14,2,5,8
210,win,Brisbane,South Sydney,30,12,8/04/2015,4,2006,12,6,9,6,9,2
211,loose,Cronulla,Sydney,24,28,8/04/2015,4,2006,0,6,6,16,4,4
212,loose,St George Illawarra,Newcastle,6,54,8/04/2015,4,2006,0,3,4,24,10,5
213,loose,Canberra,Bulldogs,12,30,9/04/2015,4,2006,0,6,9,16,8,7
214,loose,Parramatta,Penrith,18,44,9/04/2015,4,2006,18,7,4,14,7,4
215,loose,Warriors,Manly Warringah,8,22,9/04/2015,4,2006,0,5,14,20,8,12
216,loose,Sydney,Brisbane,6,24,14/04/2015,4,2006,6,7,7,8,10,9
217,win,Canberra,Warriors,18,14,15/04/2015,4,2006,0,7,4,6,8,7
218,loose,Manly Warringah,St George Illawarra,24,26,15/04/2015,4,2006,14,4,8,12,4,8
