"","Outcome","HomeTeam","AwayTeam","date","month","year","GamesPlayedHome","GamesWonHome","GamesLostHome","GamesDrawnHome","LongestWinningStreakHome","LongestLosingStreakHome","TeamsPlayedHome","TeamsBeatenHome","TeamsBeatenByHome","TeamsDrawnWithHome","GroundsPlayedAtHome","LargestPointsForHome","LargestPointsAgainstHome","LargestWinningMarginHome","LargestLosingMarginHome","TotalPointsForHome","AvgPointsForHome","TotalPointsAgainstHome","AvgPointsAgainstHome","TotalPointsDifferenceHome","AvgPointsDifferenceHome","RankHome","RankScoreHome","GamesPlayedAway","GamesWonAway","GamesLostAway","GamesDrawnAway","LongestWinningStreakAway","LongestLosingStreakAway","TeamsPlayedAway","TeamsBeatenAway","TeamsBeatenByAway","TeamsDrawnWithAway","GroundsPlayedAtAway","LargestPointsForAway","LargestPointsAgainstAway","LargestWinningMarginAway","LargestLosingMarginAway","TotalPointsForAway","AvgPointsForAway","TotalPointsAgainstAway","AvgPointsAgainstAway","TotalPointsDifferenceAway","AvgPointsDifferenceAway","RankAway","RankScoreAway"
"443","loose","Waratahs","Bulls",2007-03-10,"3","2007",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"2109","loose","Cheetahs","Sharks",2007-03-10,"3","2007",151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"573","win","Chiefs","Lions",2007-03-16,"3","2007",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"442","win","Crusaders","Bulls",2007-03-17,"3","2007",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"1591","loose","Waratahs","Stormers",2007-03-17,"3","2007",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"1982","win","Cheetahs","Brumbies",2007-03-17,"3","2007",151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"2667","win","Sharks","Hurricanes",2007-03-17,"3","2007",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"49","win","Blues","Waratahs",2007-03-23,"3","2007",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"441","loose","Highlanders","Bulls",2007-03-24,"3","2007",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"699","loose","Reds","Chiefs",2007-03-24,"3","2007",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"1074","win","Lions","Hurricanes",2007-03-24,"3","2007",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"1981","loose","Sharks","Brumbies",2007-03-24,"3","2007",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"2267","win","Crusaders","Stormers",2007-03-24,"3","2007",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"825","win","Highlanders","Cheetahs",2007-03-30,"3","2007",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"183","loose","Chiefs","Blues",2007-03-31,"3","2007",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"440","win","Hurricanes","Bulls",2007-03-31,"3","2007",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"1073","loose","Lions","Brumbies",2007-03-31,"3","2007",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"1590","loose","Waratahs","Crusaders",2007-03-31,"3","2007",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"48","win","Blues","Cheetahs",2007-04-06,"4","2007",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"698","loose","Highlanders","Chiefs",2007-04-07,"4","2007",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"1190","win","Stormers","Lions",2007-04-07,"4","2007",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"1318","loose","Reds","Sharks",2007-04-07,"4","2007",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"1716","win","Brumbies","Waratahs",2007-04-08,"4","2007",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"2189","win","Hurricanes","Cheetahs",2007-04-13,"4","2007",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"47","loose","Blues","Sharks",2007-04-14,"4","2007",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"316","win","Bulls","Stormers",2007-04-14,"4","2007",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"823","loose","Highlanders","Crusaders",2007-04-14,"4","2007",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"1450","win","Waratahs","Reds",2007-04-14,"4","2007",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"2266","win","Crusaders","Hurricanes",2007-04-20,"4","2007",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"182","win","Stormers","Blues",2007-04-21,"4","2007",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"439","loose","Lions","Bulls",2007-04-21,"4","2007",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"571","win","Chiefs","Sharks",2007-04-21,"4","2007",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"949","loose","Waratahs","Highlanders",2007-04-21,"4","2007",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53
"1317","win","Reds","Cheetahs",2007-04-21,"4","2007",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"181","win","Bulls","Blues",2007-04-27,"4","2007",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"697","loose","Waratahs","Chiefs",2007-04-27,"4","2007",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"948","win","Hurricanes","Highlanders",2007-04-27,"4","2007",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53
"1189","win","Sharks","Lions",2007-04-28,"4","2007",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"1449","win","Stormers","Reds",2007-04-28,"4","2007",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"1847","win","Brumbies","Crusaders",2007-04-28,"4","2007",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"696","loose","Crusaders","Chiefs",2007-05-04,"5","2007",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"314","win","Bulls","Reds",2007-05-05,"5","2007",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"947","win","Brumbies","Highlanders",2007-05-05,"5","2007",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53
"1071","loose","Lions","Cheetahs",2007-05-05,"5","2007",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"1715","loose","Hurricanes","Waratahs",2007-05-05,"5","2007",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"2999","loose","Stormers","Sharks",2007-05-05,"5","2007",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"180","win","Sharks","Blues",2007-05-12,"5","2007",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"313","win","Bulls","Crusaders",2007-05-12,"5","2007",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"438","loose","Sharks","Bulls",2007-05-19,"5","2007",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"946","win","Reds","Highlanders",2008-02-15,"2","2008",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53
"1979","win","Crusaders","Brumbies",2008-02-15,"2","2008",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"2867","win","Sharks","Western Force",2008-02-15,"2","2008",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"46","win","Blues","Chiefs",2008-02-16,"2","2008",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"437","loose","Stormers","Bulls",2008-02-16,"2","2008",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"1188","loose","Cheetahs","Lions",2008-02-16,"2","2008",151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"1586","win","Waratahs","Hurricanes",2008-02-16,"2","2008",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"312","loose","Bulls","Crusaders",2008-02-22,"2","2008",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"1447","win","Hurricanes","Reds",2008-02-22,"2","2008",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"2106","loose","Cheetahs","Western Force",2008-02-22,"2","2008",151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"179","loose","Lions","Blues",2008-02-23,"2","2008",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"570","win","Chiefs","Waratahs",2008-02-23,"2","2008",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"945","win","Brumbies","Highlanders",2008-02-23,"2","2008",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53
"2866","win","Sharks","Stormers",2008-02-23,"2","2008",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"694","win","Hurricanes","Chiefs",2008-02-29,"2","2008",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48
"1069","loose","Lions","Western Force",2008-02-29,"2","2008",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"2405","loose","Stormers","Crusaders",2008-02-29,"2","2008",244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"178","loose","Cheetahs","Blues",2008-03-01,"3","2008",151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26,260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20
"311","loose","Bulls","Sharks",2008-03-01,"3","2008",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"822","loose","Highlanders","Waratahs",2008-03-01,"3","2008",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"1446","win","Brumbies","Reds",2008-03-01,"3","2008",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"310","win","Bulls","Lions",2008-03-07,"3","2008",259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38,236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42
"821","loose","Highlanders","Hurricanes",2008-03-07,"3","2008",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"1585","win","Waratahs","Brumbies",2008-03-07,"3","2008",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47
"45","loose","Blues","Sharks",2008-03-08,"3","2008",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"569","win","Chiefs","Cheetahs",2008-03-08,"3","2008",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"1315","loose","Reds","Stormers",2008-03-08,"3","2008",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"2404","loose","Western Force","Crusaders",2008-03-09,"3","2008",115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"568","loose","Chiefs","Stormers",2008-03-14,"3","2008",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"1843","loose","Brumbies","Hurricanes",2008-03-14,"3","2008",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66
"44","loose","Blues","Western Force",2008-03-15,"3","2008",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"436","win","Reds","Bulls",2008-03-15,"3","2008",255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"1068","loose","Lions","Sharks",2008-03-15,"3","2008",236,66,165,5,5,17,14,13,13,4,0,65,73,50,-64,5134,21.75,7207,30.54,-2073,-8.78,2,42,265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34
"2185","win","Crusaders","Cheetahs",2008-03-15,"3","2008",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"1712","win","Crusaders","Waratahs",2008-03-21,"3","2008",277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46,258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52
"1842","win","Brumbies","Cheetahs",2008-03-21,"3","2008",265,152,107,6,8,6,15,14,14,6,0,73,56,64,-49,7060,26.64,5841,22.04,1219,4.6,2,47,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"43","win","Blues","Stormers",2008-03-22,"3","2008",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"435","win","Chiefs","Bulls",2008-03-22,"3","2008",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"820","loose","Highlanders","Western Force",2008-03-22,"3","2008",256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53,115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19
"1584","win","Waratahs","Cheetahs",2008-03-28,"3","2008",258,139,116,3,9,9,15,15,14,3,0,73,96,62,-77,6538,25.34,5675,22,863,3.34,1,52,151,50,98,3,5,12,15,15,14,1,0,59,61,49,-48,3437,22.76,4294,28.44,-857,-5.68,5,26
"2403","loose","Hurricanes","Crusaders",2008-03-28,"3","2008",254,131,116,7,7,8,15,15,13,4,0,66,60,49,-53,6539,25.74,6377,25.11,162,0.64,1,66,277,185,86,6,16,3,15,15,14,4,0,96,58,77,-36,8127,29.34,5986,21.61,2141,7.73,4,46
"3251","loose","Western Force","Stormers",2008-03-28,"3","2008",115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19,244,127,112,5,6,6,15,15,14,5,0,56,75,38,-61,5542,22.71,5529,22.66,13,0.05,1,45
"42","win","Blues","Bulls",2008-03-29,"3","2008",260,139,116,5,8,9,14,14,14,4,0,74,63,53,-47,7030,27.04,6245,24.02,785,3.02,5,20,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
"566","win","Chiefs","Highlanders",2008-03-29,"3","2008",257,132,118,7,10,6,15,15,14,4,0,72,65,42,-50,6538,25.44,6442,25.07,96,0.37,3,48,256,115,139,2,6,11,15,13,15,2,0,65,75,42,-44,6136,23.97,6548,25.58,-412,-1.61,2,53
"1444","win","Sharks","Reds",2008-03-29,"3","2008",265,134,124,7,7,8,15,15,12,5,0,75,77,57,-43,6516,24.59,6314,23.83,202,0.76,4,34,255,121,129,5,7,8,14,14,14,5,0,53,92,50,-89,5787,22.69,6301,24.71,-514,-2.02,4,22
"433","win","Western Force","Bulls",2008-04-04,"4","2008",115,40,71,4,5,10,15,12,13,4,0,55,53,41,-42,2281,19.83,2817,24.5,-536,-4.66,5,19,259,129,122,8,12,10,15,15,13,6,0,92,75,89,-64,6737,26.01,6809,26.29,-72,-0.28,3,38
