"","loose","win","Outcome","HomeTeam","AwayTeam","HomeScores","AwayScores","Date","Month","Year","HomeHalfScores","HomeScrums","HomePenalties","AwayHalfScores","AwayScrums","AwayPenalties"
"2062",0.402,0.598,"loose","Canberra","Manly Warringah",0,0,2015-08-16,"8","2015",0,0,0,0,0,0
"2063",0.378,0.622,"win","Canterbury","Gold Coast Titans",0,0,2015-08-16,"8","2015",0,0,0,0,0,0
"2064",0.406,0.594,"loose","Cronulla","Melbourne",0,0,2015-08-17,"8","2015",0,0,0,0,0,0
"2065",0.383,0.617,"win","St George Illawarra","Penrith",0,0,2015-08-20,"8","2015",0,0,0,0,0,0
"2066",0.425,0.575,"loose","South Sydney","Canterbury",0,0,2015-08-21,"8","2015",0,0,0,0,0,0
"2067",0.399,0.601,"win","Cronulla","Wests Tigers",0,0,2015-08-22,"8","2015",0,0,0,0,0,0
"2068",0.373,0.627,"win","Sydney","Brisbane",0,0,2015-08-22,"8","2015",0,0,0,0,0,0
"2069",0.37,0.63,"loose","Warriors","North Queensland",0,0,2015-08-22,"8","2015",0,0,0,0,0,0
"2070",0.367,0.633,"win","Gold Coast Titans","Canberra",0,0,2015-08-23,"8","2015",0,0,0,0,0,0
"2071",0.352,0.648,"loose","Manly Warringah","Parramatta",0,0,2015-08-23,"8","2015",0,0,0,0,0,0
"2072",0.384,0.616,"loose","Melbourne","Newcastle",0,0,2015-08-24,"8","2015",0,0,0,0,0,0
"2073",0.404,0.596,"loose","South Sydney","Brisbane",0,0,2015-08-27,"8","2015",0,0,0,0,0,0
"2074",0.402,0.598,"loose","Manly Warringah","Sydney",0,0,2015-08-28,"8","2015",0,0,0,0,0,0
"2075",0.37,0.63,"win","Melbourne","North Queensland",0,0,2015-08-29,"8","2015",0,0,0,0,0,0
"2076",0.387,0.613,"loose","Newcastle","Canterbury",0,0,2015-08-29,"8","2015",0,0,0,0,0,0
"2077",0.388,0.612,"loose","Parramatta","Cronulla",0,0,2015-08-29,"8","2015",0,0,0,0,0,0
"2078",0.364,0.636,"win","Gold Coast Titans","St George Illawarra",0,0,2015-08-30,"8","2015",0,0,0,0,0,0
"2079",0.377,0.623,"win","Wests Tigers","Warriors",0,0,2015-08-30,"8","2015",0,0,0,0,0,0
"2080",0.371,0.629,"win","Canberra","Penrith",0,0,2015-08-31,"8","2015",0,0,0,0,0,0
"2081",0.375,0.625,"loose","Brisbane","Melbourne",0,0,2015-09-03,"9","2015",0,0,0,0,0,0
"2082",0.345,0.655,"win","Sydney","South Sydney",0,0,2015-09-04,"9","2015",0,0,0,0,0,0
"2083",0.381,0.619,"win","North Queensland","Gold Coast Titans",0,0,2015-09-05,"9","2015",0,0,0,0,0,0
"2084",0.378,0.622,"win","Penrith","Newcastle",0,0,2015-09-05,"9","2015",0,0,0,0,0,0
"2085",0.377,0.623,"win","St George Illawarra","Wests Tigers",0,0,2015-09-05,"9","2015",0,0,0,0,0,0
"2086",0.363,0.637,"win","Canterbury","Warriors",0,0,2015-09-06,"9","2015",0,0,0,0,0,0
"2087",0.406,0.594,"loose","Cronulla","Manly Warringah",0,0,2015-09-06,"9","2015",0,0,0,0,0,0
"2088",0.375,0.625,"loose","Parramatta","Canberra",0,0,2015-09-06,"9","2015",0,0,0,0,0,0
